Admin,Year,Individual/Company,Industry,Nationality,US/0-US,Penalty,Sanctions Regime,Tag,Voluntary Disclosure?,Egregious Case?,# of violations,Violation Date(s),Announcement Date,Countries Involved,SDN Individual or Entity?,Subsidiary?,Successor Liability,Item(s) Exported/ Other Violations,Value of Items/ Transactions,Items Eligble for License?
Biden,2021,"BitPay, Inc.",Financial,U.S.,U.S.,"$507,375","Executive Order 13685, Cuban Assets Control Regulations, North Korea Sanctions Regime, Iranian Transactions and Sanctions Regulations, Sudanese Sanctions  and Regulations, Syrian Sanctions and Regulations","CACR, NKSR, ITSR, SSR, ",NO,NO,"2,102",June 2013 to September 2018,2/18/2021,"Ukraine, Cuba, North Korea, Iran, Sudan, Syria, US",NO,NO,NO,Payment Processing Solution,129000,NO
Trump,2021,PT Bukit Muria Jaya,Industrial,Indonesia,Foreign,"$1,016,000",North Korea Sanctions Regulations,NKSR,NO,NO,28,March 2016 to May 2018.,1/14/2021,"Indonesia, North Korea, US, China",Daesong,NO,NO,Cigarette Paper,959111,NO
Trump,2021,Union de Banques Arabes et Françaises,Financial,France,Foreign,"$8,572,500","Executive Order 13582 of August 17, 2011, “Blocking
Property of the Government of Syria and Prohibiting Certain Transactions with Respect to Syria” (“E.O.
13582”), and Executive Order 13382 of July 1, 2005, “Blocking Property of Weapons of Mass
Destruction Proliferators and Their Supporters” (“E.O. 13382”).",,YES,NO,127,August 2011 to April 2013,1/14/2021,,,NO,NO,Financial transactions,,
Trump,2020,"BitGo, Inc. ",Financial,U.S.,U.S.,"$98,830","Executive order, Iranian Transactions and Sanctions Regulations,  Sudanese Sanctions Regulations, Syrian Sanctions Regulations","ITSR, SSR",NO,NO,183,"March 10, 2015 to December 11, 2019,",12/30/2020,"United States, Ukraine, Cuba, Iran, Sudan, and Syria",NO,NO,NO,digital currency transactions,9127.79,NO
Trump,2020,National Commercial Bank,Financial,Saudi Arabia,Foreign,"$653,347",Executive order and Sudanese Sanctions Regulations,SSD,YES,NO,13,"November 7, 2011 to August 28, 2014,",12/28/2020,"Saudi Arabia, Syria, Sudan",YES,NO,NO,Financial Transactions,5918560,NO
Trump,2020,"Berkshire Hathaway, Inc.",Financial,U.S.,U.S.,"$4,144,651",Iranian Transactions and Sanctions Regulations,ITSR,YES,YES,144,December 2012 to January 2016,10/20/2020,"United States, Iran, Turkey",Government of Iran,YES,YES,Cutting tools and related inserts,383443,NO
Trump,2020,"Generali Global Assistance, Inc.",Insurance,U.S.,U.S.,"$5,864,860",Cuban Assets Control Regulations,CACR,YES,YES,"2,593","June 26, 2010 to January 15, 2015",10/1/2020,"Canada, U.S., Cuba",YES,NO,NO,Travel services,285760,NO
Trump,2020,Keysight Technologies Inc. ,ICT,U.S.,U.S.,"$473,157",Iranian Transactions and Sanctions Regulations,ITSR,YES,YES,1,January 2016 to June 2016,9/24/2020,"Iran, Finland, United States",NO,YES,YES,Software/technology products,331089,YES
Trump,2020,Comtech Telecommunications Corp.,ICT,U.S.,U.S.,"$894,111",Sudanese Sanctions Regulations,SSR,YES,YES,4,"June 24, 2014 to October 19, 2015",9/17/2020,"Sudan, United States",NO,YES,NO,Software/electronic services,,YES
Trump,2020,Deutsche Bank Trust Company Americas,Financial,U.S.,U.S.,"$583,100",Ukraine-Related Sanctions Regulations and Executive Order 13685,URSR,NO,NO,61,"December 22, 2015 to December 20, 2015",9/9/2020,"Cyprus, United States, Russia, Ukraine",Open Joint Stock Company Krasnodar Regional Investment Bank,YES,NO,Financial Transactions,276742.9,NO
